  7-02770-01905,  LOST COAST INDICA IPA 6PK
  0-82184-05437,  LOST VINEYARDS SANGRIA
  0-94185-00075,  LOST VINEYARDS SANGRIA
  4-12138-51322,  LOWENBRAU ORIGINAL 6PK
  6-89076-25487,  MACTARNAHAN S SPINE TINGL
  0-85053-63002,  MAGIC HAT #9 12PK BTLS
  7-04361-09024,  MAGIC HAT #9 6PK BTLS
  6-89076-83954,  MAGIC HAT #9 SNGL BTL
  7-04361-20024,  MAGIC HAT CIRCUS BOY 6PK
  0-87692-01103,  MAGIC HAT SEASONAL 12PK
  7-04361-40024,  MAGIC HAT SEASONAL 6PK
  7-04361-44024,  MAGIC HAT SEASONAL IPA
  0-87692-10014,  MAGIC HAT VARIETY 12PK
  6-05800-50004,  MAGNERS IRISH CIDER 6PK
  6-49241-85808,  MARGARITAVILLE BEACH BOX
  6-49440-00022,  MARGARITAVILLE LIME RITA
  6-49440-00302,  MARGARITAVILLE PARA PUNCH
  1-86063-00066,  MCKENZIE S BLK CHRY CIDER
  1-86063-00070,  MCKENZIE S GREEN APL CIDE
  1-86063-00093,  MCKENZIE S ORIGINAL CIDER
  8-59088-00309,  MCKENZIE S SSNL RESERVE
  6-35985-12841,  MCKENZIE S VARIETY PACK
  0-18200-19987,  MICHELOB AMBERBOCK 15PK
  0-68213-02419,  MICHELOB LIGHT 15PK
  0-70310-00164,  MICHELOB LIGHT 30PK CANS
  0-68213-03112,  MICHELOB LIGHT 6P/12Z NR
  0-70310-01077,  MICHELOB LT PREPRINT 24PK
  0-18200-96122,  MICHELOB ULTRA 12P/12Z BT
  0-18200-96293,  MICHELOB ULTRA 12P/12Z CN
  0-34100-15256,  MICHELOB ULTRA 18PK CANS
  0-70897-01327,  MICHELOB ULTRA 20PK BTLS
  0-71670-12013,  MICHELOB ULTRA 30PK CANS
  0-68213-05112,  MICHELOB ULTRA 6P/12Z BTL
  0-68213-05419,  MICHELOB ULTRA DRGNFRT P
  0-34100-15509,  MICHELOB ULTRA INFUSED
  0-82000-72608,  MICHELOB ULTRA LGT CIDER
  0-68213-09212,  MICHELOB ULTRA LIME CACTU
  0-68213-09471,  MICHELOB ULTRA POMEG RASP
  6-89926-00114,  MIDDLE AGES 10TH ANNIVERS
  7-05105-61341,  MIDDLE AGES BEAST BITTER
  6-89926-00502,  MIDDLE AGES DRAGON SLAYER
  6-89926-00503,  MIDDLE AGES DRUID FLUID
